format,model_1,model_2,winrate,variance,nb_battles,wins,losses,ties
gen1randombattle,SimpleHeuristics,fire_6_00300,0.76800000,0.000174350350,1000,760,224,16
gen1randombattle,SimpleHeuristics,fire_7_00300,0.77400000,0.000172596597,1000,769,221,10
gen1randombattle,SimpleHeuristics,fire_8_00300,0.78200000,0.000167643644,1000,776,212,12
gen1randombattle,SimpleHeuristics,fire_9_00300,0.78300000,0.000166577578,1000,776,210,14
gen1randombattle,SimpleHeuristics,red-hp-1-150,0.87050000,0.000110590340,1000,866,125,9
gen1randombattle,SimpleHeuristics,red-mixed-1-60,0.91950000,0.000072342092,1000,916,77,7
gen1randombattle,SimpleHeuristics,red-outcome-1-140,0.90400000,0.000083867868,1000,898,90,12
gen1randombattle,SimpleHeuristics,red-shapped-1-100,0.90700000,0.000080931932,1000,900,86,14
gen1randombattle,SimpleHeuristics,red-skewed-enemy-1-150,0.92300000,0.000068139139,1000,917,71,12
gen1randombattle,SimpleHeuristics,red-skewed-own-1-20,0.92050000,0.000071501251,1000,917,76,7
gen1randombattle,crystal_10_00200,crystal_10_00200,0.49550000,0.000249979730,1000,495,504,1
gen1randombattle,crystal_10_00200,crystal_1_00200,0.51300000,0.000249080080,1000,511,485,4
gen1randombattle,crystal_10_00200,crystal_2_00200,0.50600000,0.000249213213,1000,504,492,4
gen1randombattle,crystal_10_00200,crystal_3_00200,0.51600000,0.000249493493,1000,515,483,2
gen1randombattle,crystal_10_00200,crystal_3_00300,0.50650000,0.000249957708,1000,506,493,1
gen1randombattle,crystal_10_00200,crystal_4_00200,0.55500000,0.000246721722,1000,554,444,2
gen1randombattle,crystal_10_00200,crystal_5_00200,0.51800000,0.000248924925,1000,516,480,4
gen1randombattle,crystal_10_00200,crystal_6_00200,0.51350000,0.000249817568,1000,513,486,1
gen1randombattle,crystal_10_00200,crystal_7_00200,0.48850000,0.000249867618,1000,488,511,1
gen1randombattle,crystal_10_00200,crystal_8_00200,0.52400000,0.000249173173,1000,523,475,2
gen1randombattle,crystal_10_00200,crystal_9_00200,0.52600000,0.000249073073,1000,525,473,2
gen1randombattle,crystal_10_00200,fire_10_00300,0.52300000,0.000248719720,1000,521,475,4
gen1randombattle,crystal_10_00200,fire_1_00300,0.51800000,0.000248924925,1000,516,480,4
gen1randombattle,crystal_10_00200,fire_2_00300,0.50800000,0.000249685686,1000,507,491,2
gen1randombattle,crystal_10_00200,fire_3_00300,0.49100000,0.000249668669,1000,490,508,2
gen1randombattle,crystal_10_00200,fire_4_00300,0.49950000,0.000248998749,1000,497,498,5
gen1randombattle,crystal_10_00200,fire_5_00300,0.52600000,0.000249573574,1000,526,474,0
gen1randombattle,crystal_10_00200,fire_6_00300,0.50200000,0.000248744745,1000,499,495,6
gen1randombattle,crystal_10_00200,fire_7_00300,0.47350000,0.000247795546,1000,470,523,7
gen1randombattle,crystal_10_00200,fire_8_00300,0.51250000,0.000248842593,1000,510,485,5
gen1randombattle,crystal_10_00200,fire_9_00300,0.53350000,0.000248376126,1000,532,465,3
gen1randombattle,crystal_1_00200,crystal_1_00200,0.51600000,0.000249493493,1000,515,483,2
gen1randombattle,crystal_1_00200,crystal_1_00300,0.50450000,0.000249479229,1000,503,494,3
gen1randombattle,crystal_1_00200,crystal_1_00500,0.49400000,0.000249713714,1000,493,505,2
gen1randombattle,crystal_1_00200,crystal_2_00200,0.47000000,0.000248348348,1000,468,528,4
gen1randombattle,crystal_1_00200,crystal_2_00300,0.49350000,0.000249957708,1000,493,506,1
gen1randombattle,crystal_1_00200,crystal_2_00500,0.46600000,0.000248592593,1000,465,533,2
gen1randombattle,crystal_1_00200,crystal_3_00200,0.51100000,0.000249628629,1000,510,488,2
gen1randombattle,crystal_1_00200,crystal_3_00300,0.51650000,0.000249226977,1000,515,482,3
gen1randombattle,crystal_1_00200,crystal_3_00500,0.53400000,0.000249093093,1000,534,466,0
gen1randombattle,crystal_1_00200,crystal_4_00200,0.54850000,0.000247645395,1000,548,451,1
gen1randombattle,crystal_1_00200,crystal_5_00200,0.51100000,0.000249628629,1000,510,488,2
gen1randombattle,crystal_1_00200,crystal_6_00200,0.53050000,0.000248568318,1000,529,468,3
gen1randombattle,crystal_1_00200,crystal_7_00200,0.48450000,0.000249759510,1000,484,515,1
gen1randombattle,crystal_1_00200,crystal_8_00200,0.49800000,0.000248744745,1000,495,499,6
gen1randombattle,crystal_1_00200,crystal_9_00200,0.49650000,0.000249987738,1000,496,503,1
gen1randombattle,crystal_1_00200,fire_10_00300,0.48750000,0.000249343093,1000,486,511,3
gen1randombattle,crystal_1_00200,fire_1_00300,0.47650000,0.000248946697,1000,475,522,3
gen1randombattle,crystal_1_00200,fire_2_00300,0.49450000,0.000249469219,1000,493,504,3
gen1randombattle,crystal_1_00200,fire_3_00300,0.50250000,0.000248992743,1000,500,495,5
gen1randombattle,crystal_1_00200,fire_4_00300,0.50300000,0.000248239239,1000,499,493,8
gen1randombattle,crystal_1_00200,fire_5_00300,0.51900000,0.000249388388,1000,518,480,2
gen1randombattle,crystal_1_00200,fire_6_00300,0.52750000,0.000247741491,1000,524,469,7
gen1randombattle,crystal_1_00200,fire_7_00300,0.47750000,0.000248992743,1000,476,521,3
gen1randombattle,crystal_1_00200,fire_8_00300,0.50350000,0.000249987738,1000,503,496,1
gen1randombattle,crystal_1_00200,fire_9_00300,0.50100000,0.000249248248,1000,499,497,4
gen1randombattle,crystal_1_00300,crystal_1_00300,0.51350000,0.000249317067,1000,512,485,3
gen1randombattle,crystal_1_00300,crystal_1_00500,0.48500000,0.000249524525,1000,484,514,2
gen1randombattle,crystal_1_00300,crystal_2_00200,0.51400000,0.000248552553,1000,511,483,6
gen1randombattle,crystal_1_00300,crystal_2_00300,0.51050000,0.000249389139,1000,509,488,3
gen1randombattle,crystal_1_00300,crystal_2_00500,0.55250000,0.000246740490,1000,551,446,3
gen1randombattle,crystal_1_00300,crystal_3_00200,0.51200000,0.000249605606,1000,511,487,2
gen1randombattle,crystal_1_00300,crystal_3_00300,0.52750000,0.000249242993,1000,527,472,1
gen1randombattle,crystal_1_00300,crystal_3_00500,0.54950000,0.000247547297,1000,549,450,1
gen1randombattle,crystal_1_00500,crystal_1_00500,0.51450000,0.000248788539,1000,512,483,5
gen1randombattle,crystal_1_00500,crystal_2_00200,0.49950000,0.000249499249,1000,498,499,3
gen1randombattle,crystal_1_00500,crystal_2_00300,0.48700000,0.000249080080,1000,485,511,4
gen1randombattle,crystal_1_00500,crystal_2_00500,0.53100000,0.000248787788,1000,530,468,2
gen1randombattle,crystal_1_00500,crystal_3_00200,0.47950000,0.000249078829,1000,478,519,3
gen1randombattle,crystal_1_00500,crystal_3_00300,0.49850000,0.000249497247,1000,497,500,3
gen1randombattle,crystal_1_00500,crystal_3_00500,0.48000000,0.000249349349,1000,479,519,2
gen1randombattle,crystal_2_00200,crystal_2_00200,0.48350000,0.000249226977,1000,482,515,3
gen1randombattle,crystal_2_00200,crystal_2_00300,0.50150000,0.000249997748,1000,501,498,1
gen1randombattle,crystal_2_00200,crystal_2_00500,0.55100000,0.000246145145,1000,548,446,6
gen1randombattle,crystal_2_00200,crystal_3_00200,0.52550000,0.000249349099,1000,525,474,1
gen1randombattle,crystal_2_00200,crystal_3_00300,0.53150000,0.000249006757,1000,531,468,1
gen1randombattle,crystal_2_00200,crystal_3_00500,0.53400000,0.000248592593,1000,533,465,2
gen1randombattle,crystal_2_00200,crystal_4_00200,0.52050000,0.000249078829,1000,519,478,3
gen1randombattle,crystal_2_00200,crystal_5_00200,0.49950000,0.000249499249,1000,498,499,3
gen1randombattle,crystal_2_00200,crystal_6_00200,0.49250000,0.000249943694,1000,492,507,1
gen1randombattle,crystal_2_00200,crystal_7_00200,0.50200000,0.000249245245,1000,500,496,4
gen1randombattle,crystal_2_00200,crystal_8_00200,0.46700000,0.000248159159,1000,465,531,4
gen1randombattle,crystal_2_00200,crystal_9_00200,0.51350000,0.000248816567,1000,511,484,5
gen1randombattle,crystal_2_00200,fire_10_00300,0.47850000,0.000249036787,1000,477,520,3
gen1randombattle,crystal_2_00200,fire_1_00300,0.51450000,0.000249289039,1000,513,484,3
gen1randombattle,crystal_2_00200,fire_2_00300,0.48900000,0.000249628629,1000,488,510,2
gen1randombattle,crystal_2_00200,fire_3_00300,0.50000000,0.000249749750,1000,499,499,2
gen1randombattle,crystal_2_00200,fire_4_00300,0.49350000,0.000249457207,1000,492,505,3
gen1randombattle,crystal_2_00200,fire_5_00300,0.49050000,0.000249409159,1000,489,508,3
gen1randombattle,crystal_2_00200,fire_6_00300,0.50150000,0.000249497247,1000,500,497,3
gen1randombattle,crystal_2_00200,fire_7_00300,0.48350000,0.000248726476,1000,481,514,5
gen1randombattle,crystal_2_00200,fire_8_00300,0.49800000,0.000249745746,1000,497,501,2
gen1randombattle,crystal_2_00200,fire_9_00300,0.48200000,0.000248424424,1000,479,515,6
gen1randombattle,crystal_2_00300,crystal_2_00300,0.51450000,0.000249789540,1000,514,485,1
gen1randombattle,crystal_2_00300,crystal_2_00500,0.49100000,0.000249668669,1000,490,508,2
gen1randombattle,crystal_2_00300,crystal_3_00200,0.51500000,0.000249524525,1000,514,484,2
gen1randombattle,crystal_2_00300,crystal_3_00300,0.52300000,0.000249220220,1000,522,476,2
gen1randombattle,crystal_2_00300,crystal_3_00500,0.51900000,0.000249888889,1000,519,481,0
gen1randombattle,crystal_2_00500,crystal_2_00500,0.49150000,0.000248926677,1000,489,506,5
gen1randombattle,crystal_2_00500,crystal_3_00200,0.50400000,0.000248732733,1000,501,493,6
gen1randombattle,crystal_2_00500,crystal_3_00300,0.46950000,0.000248568318,1000,468,529,3
gen1randombattle,crystal_2_00500,crystal_3_00500,0.53000000,0.000248348348,1000,528,468,4
gen1randombattle,crystal_3_00200,crystal_3_00200,0.48800000,0.000249605606,1000,487,511,2
gen1randombattle,crystal_3_00200,crystal_3_00300,0.50550000,0.000249969720,1000,505,494,1
gen1randombattle,crystal_3_00200,crystal_3_00500,0.51200000,0.000249605606,1000,511,487,2
gen1randombattle,crystal_3_00200,crystal_4_00200,0.51250000,0.000249343093,1000,511,486,3
gen1randombattle,crystal_3_00200,crystal_5_00200,0.49550000,0.000249979730,1000,495,504,1
gen1randombattle,crystal_3_00200,crystal_6_00200,0.52100000,0.000249308308,1000,520,478,2
gen1randombattle,crystal_3_00200,crystal_7_00200,0.50500000,0.000249724725,1000,504,494,2
gen1randombattle,crystal_3_00200,crystal_8_00200,0.50700000,0.000249700701,1000,506,492,2
gen1randombattle,crystal_3_00200,crystal_9_00200,0.49350000,0.000249957708,1000,493,506,1
gen1randombattle,crystal_3_00200,fire_10_00300,0.51250000,0.000249343093,1000,511,486,3
gen1randombattle,crystal_3_00200,fire_1_00300,0.49600000,0.000250234234,1000,496,504,0
gen1randombattle,crystal_3_00200,fire_2_00300,0.49450000,0.000249469219,1000,493,504,3
gen1randombattle,crystal_3_00200,fire_3_00300,0.49650000,0.000249487237,1000,495,502,3
gen1randombattle,crystal_3_00200,fire_4_00300,0.48650000,0.000249317067,1000,485,512,3
gen1randombattle,crystal_3_00200,fire_5_00300,0.50500000,0.000250225225,1000,505,495,0
gen1randombattle,crystal_3_00200,fire_6_00300,0.53450000,0.000248308058,1000,533,464,3
gen1randombattle,crystal_3_00200,fire_7_00300,0.48850000,0.000249867618,1000,488,511,1
gen1randombattle,crystal_3_00200,fire_8_00300,0.48800000,0.000249105105,1000,486,510,4
gen1randombattle,crystal_3_00200,fire_9_00300,0.49850000,0.000247995746,1000,494,497,9
gen1randombattle,crystal_3_00300,crystal_3_00300,0.47450000,0.000249349099,1000,474,525,1
gen1randombattle,crystal_3_00300,crystal_3_00500,0.51100000,0.000249628629,1000,510,488,2
gen1randombattle,crystal_3_00300,crystal_4_00200,0.49650000,0.000249487237,1000,495,502,3
gen1randombattle,crystal_3_00300,crystal_5_00200,0.47800000,0.000249265265,1000,477,521,2
gen1randombattle,crystal_3_00300,crystal_6_00200,0.50600000,0.000249713714,1000,505,493,2
